longitude,latitude,object_id,fire_id,asmnt_type,pre_id,post_id,nodata_threshold,low_threshold,moderate_threshold,high_threshold,fire_type,fire_name,greenness_threshold,ig_date,acres
-117.890012144671,34.2600048991738,12501,CA3426011789019860720,Initial,50410361986187,50410361986200,-970,80,835,975,Wildfire,TECALOTE,-150,1986/07/20 00:00:00+00,4085
-119.502014045293,45.9260058149038,12833,WA4592611950219860605,Initial,50440281985221,50440281986200,-970,-10,150,9999,Wildfire,TRAIN,-150,1986/06/05 00:00:00+00,1897
-117.178013275288,44.0860059045131,12913,OR4408611717819860807,Initial,50420291986194,50420291986200,-970,50,9999,9999,Wildfire,TUB MTN,-150,1986/08/07 00:00:00+00,27008
-80.0060031302849,37.6390074164041,12918,VA3763908000619860401,Initial (SS),NULL,50170341986100,-9999,270,-74,-195,Wildfire,TUCKER,-9999,1986/04/01 00:00:00+00,1976
-81.2760030002026,25.9310047027906,12973,FL2593108127619860329,Initial (SS),NULL,50160421986100,-9999,600,-9999,-9999,Wildfire,TURNRIVER,-9999,1986/03/29 00:00:00+00,1473
-112.63901164304,38.8460057631622,13017,UT3884611263919860704,Initial,50380331986182,50380331986300,-970,10,150,9999,Wildfire,TWINPEAKS,-150,1986/07/04 00:00:00+00,34633
-120.911013802672,43.4420055049742,13057,OR4344212091119860816,Initial,50450301985228,50450301986300,-970,50,9999,9999,Wildfire,UGLY,-150,1986/08/16 00:00:00+00,7611
-74.4050015265099,39.8880080792934,14128,NJ3988807440519860320,Initial (SS),NULL,50140321986100,-9999,355,-9999,-9999,Prescribed Fire,UNNAMED,-9999,1986/03/20 00:00:00+00,584
-74.5600015639044,39.687008033675,14129,NJ3968707456019860301,Initial (SS),NULL,50140321986100,-9999,275,-9999,-9999,Prescribed Fire,UNNAMED,-9999,1986/03/01 00:00:00+00,1281
-74.6430015955001,39.7770080487874,14130,NJ3977707464319860325,Initial (SS),NULL,50140321986100,-9999,285,-9999,-9999,Prescribed Fire,UNNAMED,-9999,1986/03/25 00:00:00+00,550
